Entity,ISO3,Year,Age,Population,Start Age
Hungary,HUN,1950,0-4,824764,0
Hungary,HUN,1951,0-4,855866,0
Hungary,HUN,1952,0-4,873335,0
Hungary,HUN,1953,0-4,887044,0
Hungary,HUN,1954,0-4,914367,0
Hungary,HUN,1955,0-4,940456,0
Hungary,HUN,1956,0-4,948869,0
Hungary,HUN,1957,0-4,940599,0
Hungary,HUN,1958,0-4,911892,0
Hungary,HUN,1959,0-4,859661,0
Hungary,HUN,1960,0-4,799910,0
Hungary,HUN,1961,0-4,748559,0
Hungary,HUN,1962,0-4,708306,0
Hungary,HUN,1963,0-4,679432,0
Hungary,HUN,1964,0-4,659045,0
Hungary,HUN,1965,0-4,644564,0
Hungary,HUN,1966,0-4,638206,0
Hungary,HUN,1967,0-4,647420,0
Hungary,HUN,1968,0-4,667990,0
Hungary,HUN,1969,0-4,690245,0
Hungary,HUN,1970,0-4,710700,0
Hungary,HUN,1971,0-4,726607,0
Hungary,HUN,1972,0-4,735771,0
Hungary,HUN,1973,0-4,739228,0
Hungary,HUN,1974,0-4,755930,0
Hungary,HUN,1975,0-4,792396,0
Hungary,HUN,1976,0-4,830337,0
Hungary,HUN,1977,0-4,859969,0
Hungary,HUN,1978,0-4,878473,0
Hungary,HUN,1979,0-4,875150,0
Hungary,HUN,1980,0-4,843884,0
Hungary,HUN,1981,0-4,801547,0
Hungary,HUN,1982,0-4,759579,0
Hungary,HUN,1983,0-4,717784,0
Hungary,HUN,1984,0-4,679517,0
Hungary,HUN,1985,0-4,652540,0
Hungary,HUN,1986,0-4,636258,0
Hungary,HUN,1987,0-4,625194,0
Hungary,HUN,1988,0-4,620024,0
Hungary,HUN,1989,0-4,617957,0
Hungary,HUN,1990,0-4,616361,0
Hungary,HUN,1991,0-4,615869,0
Hungary,HUN,1992,0-4,614688,0
Hungary,HUN,1993,0-4,609958,0
Hungary,HUN,1994,0-4,603027,0
Hungary,HUN,1995,0-4,592300,0
Hungary,HUN,1996,0-4,574794,0
Hungary,HUN,1997,0-4,553700,0
Hungary,HUN,1998,0-4,533206,0
Hungary,HUN,1999,0-4,513421,0
Hungary,HUN,2000,0-4,496591,0
Hungary,HUN,2001,0-4,484401,0
Hungary,HUN,2002,0-4,478434,0
Hungary,HUN,2003,0-4,477013,0
Hungary,HUN,2004,0-4,477096,0
Hungary,HUN,2005,0-4,478112,0
Hungary,HUN,2006,0-4,480269,0
Hungary,HUN,2007,0-4,482851,0
Hungary,HUN,2008,0-4,485414,0
Hungary,HUN,2009,0-4,488417,0
Hungary,HUN,2010,0-4,486025,0
Hungary,HUN,2011,0-4,476792,0
Hungary,HUN,2012,0-4,467184,0
Hungary,HUN,2013,0-4,459248,0
Hungary,HUN,2014,0-4,453685,0
Hungary,HUN,2015,0-4,453515,0
Hungary,HUN,2016,0-4,458303,0
Hungary,HUN,2017,0-4,463550,0
Hungary,HUN,2018,0-4,466982,0
Hungary,HUN,2019,0-4,468423,0
Hungary,HUN,2020,0-4,469070,0
Hungary,HUN,2021,0-4,469283,0
Hungary,HUN,2022,0-4,466950,0
Hungary,HUN,2023,0-4,462049,0
Hungary,HUN,1950,5-14,1503052,5
Hungary,HUN,1951,5-14,1500105,5
Hungary,HUN,1952,5-14,1509961,5
Hungary,HUN,1953,5-14,1532410,5
Hungary,HUN,1954,5-14,1559382,5
Hungary,HUN,1955,5-14,1587313,5
Hungary,HUN,1956,5-14,1603430,5
Hungary,HUN,1957,5-14,1611541,5
Hungary,HUN,1958,5-14,1637390,5
Hungary,HUN,1959,5-14,1679866,5
Hungary,HUN,1960,5-14,1727665,5
Hungary,HUN,1961,5-14,1771909,5
Hungary,HUN,1962,5-14,1787235,5
Hungary,HUN,1963,5-14,1774973,5
Hungary,HUN,1964,5-14,1752525,5
Hungary,HUN,1965,5-14,1721407,5
Hungary,HUN,1966,5-14,1684420,5
Hungary,HUN,1967,5-14,1641859,5
Hungary,HUN,1968,5-14,1586154,5
Hungary,HUN,1969,5-14,1513037,5
Hungary,HUN,1970,5-14,1438179,5
Hungary,HUN,1971,5-14,1380645,5
Hungary,HUN,1972,5-14,1350575,5
Hungary,HUN,1973,5-14,1344231,5
Hungary,HUN,1974,5-14,1347747,5
Hungary,HUN,1975,5-14,1355233,5
Hungary,HUN,1976,5-14,1366101,5
Hungary,HUN,1977,5-14,1385548,5
Hungary,HUN,1978,5-14,1410965,5
Hungary,HUN,1979,5-14,1449585,5
Hungary,HUN,1980,5-14,1503701,5
Hungary,HUN,1981,5-14,1554834,5
Hungary,HUN,1982,5-14,1592128,5
Hungary,HUN,1983,5-14,1614117,5
Hungary,HUN,1984,5-14,1626381,5
Hungary,HUN,1985,5-14,1629991,5
Hungary,HUN,1986,5-14,1626034,5
Hungary,HUN,1987,5-14,1613819,5
Hungary,HUN,1988,5-14,1589924,5
Hungary,HUN,1989,5-14,1544333,5
Hungary,HUN,1990,5-14,1483022,5
Hungary,HUN,1991,5-14,1427965,5
Hungary,HUN,1992,5-14,1381639,5
Hungary,HUN,1993,5-14,1342103,5
Hungary,HUN,1994,5-14,1309148,5
Hungary,HUN,1995,5-14,1284919,5
Hungary,HUN,1996,5-14,1269180,5
Hungary,HUN,1997,5-14,1257763,5
Hungary,HUN,1998,5-14,1247825,5
